NUM_Thefts,hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
4.0,1300 W BROADWAY,Arterial,172.603,0.0378198460707542,0.2264848139701502,0.08338990467309,0.0020615274852613,0.1978755585058296,0.0230021361101524,0.0625116801951697,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,1.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1900 BLENHEIM ST,Residential,49.706,0.0075032820453253,0.0652213278885999,0.0723435585868311,0.1344401776085218,0.5560312525898353,0.0157881778507126,0.0180016254485557,0.6488161302256752,0.3329413494046744,0.3214285714285713,0.016,0.255555555555556,0.1718750000000002,0.6064457000350847,0.2565003821575806,0.0,0.0,1.0,0.0,0.0714285714285714,0.0,0.0,0.25,0.25,0.5,0.0,1.0,0.0,1.0,1.0,1.0
2.0,1500-1700 DISCOVERY ST,Residential,489.057,0.3468728249752856,0.5833020593584417,0.2588218317011047,0.3246496791210764,0.7960352511938505,0.3143336341364973,0.4229592435434778,0.0942471328153903,0.0,0.2824675324675323,0.042,0.4222222222222227,0.65625,0.4525052876805268,0.0306454390304248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1000 W 71ST AV,Residential,50.684,0.1631490988079661,0.0665046543547807,0.4357053469807973,0.8141362137822606,0.1452690939784523,0.0280539276083595,0.0550522910567009,0.3050314465408805,0.4118771130383654,0.4318181818181816,0.274,0.4000000000000001,0.5234375000000003,0.5542893901987086,0.1151956300427147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,1800 FIR ST,Residential,49.102,0.0117917591545538,0.0777029243572214,0.0726686336683132,0.0016947580916651,0.2018810800516997,0.0154494419365697,0.0763294416251008,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,0.0,0.0,1.0,0.0,0.0714285714285714,0.3571428571428571,0.0,0.25,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10.0,1200 BURNABY ST,Residential,161.048,0.0341801688370456,0.2113237158206072,0.0,0.0299203502086628,0.1559599342047885,0.0591564784440056,0.0986004047685619,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.0,400 W KING EDWARD AV,Arterial,51.091,0.0150432124321112,0.0670374054235633,0.1281013054984238,0.035061618439346,0.0022829207659252,0.0135260387945681,0.0185028778552191,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.5,1.0,1.0,0.0,0.0,1.0,0.0
2.0,3200 GRANT ST,Residential,54.872,0.3502472676021518,0.072000125970696,0.5287412146325682,0.540927566293125,0.158814161623086,0.0173733768460974,0.0844378512207524,0.4921383647798742,0.4221666911656622,0.7402597402597403,0.86,0.4444444444444444,0.5156250000000002,0.8917212266703911,0.1191238120001616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,3900-4000 ARBUTUS ST,Arterial,61.065,0.2664567358564578,0.508882246267462,0.0992270350747478,0.3804632988455919,0.3726245911705451,0.0516441986024085,0.0355766068688964,0.1354975952645209,0.0754079082757606,0.0422077922077921,0.054,0.7000000000000005,0.8359375000000004,0.2207975453603087,0.1182616924932576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,7000-7100 KILLARNEY ST,Residential,113.297,0.4715178718121766,0.1571221994483533,0.2185311416497211,0.5024153034381825,0.3159849349745333,0.143400153468108,0.2179144133246218,0.3950240473547909,0.4514184918418344,0.4935064935064933,0.144,0.4555555555555557,0.6171875,0.6891777317885928,0.1233055671619962,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,700 NICOLA ST,Arterial,65.111,0.020002540537569,0.0854343758283229,3.1033420666551325e-06,0.0013634253544551,0.1103081651412607,0.0396863422423892,0.0235805937088476,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,1.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,500 CAMBIE ST,Arterial,50.256,0.017024396925142,0.0659430350014827,0.0,0.0136519718727446,0.0282733043131617,0.0292626351952464,0.0182008225754812,1.0,1.0,0.7045454545454544,0.38,0.255555555555556,0.1250000000000001,0.3618374627155221,0.5982012308535262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0
