id,left,top,right,bottom,bikeway,lane,RackDist,InterDist,Arterial,Collector,Residentia,Secondary,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Commercial,Comprehens,Historical,Industrial,Limited_Ag,Multiple_D,One-Family,Other,Two-Family,NUM_Racks,NUM_Thefts
85690,1207855.681118752,479002.0313271348,1207890.322134904,478972.0313271348,1.0,0.0,0.0419965830677469,0.0008856423209496,1.0,0.0,1.0,0.0,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8
118774,1210116.0074226295,475657.0313271349,1210150.6484387813,475627.0313271349,0.0,0.0,0.008838453091285,0.0319026076852498,1.0,0.0,0.0,0.0,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
174415,1213935.1794533192,477832.0313271348,1213969.8204694707,477802.0313271348,1.0,0.0,0.1573909831732424,0.038059593100492,0.0,0.0,1.0,0.0,0.3922493525712172,0.5256504483316184,0.8019480519480517,0.608,0.2111111111111117,0.2031250000000001,0.3734137795936593,0.2234996691660948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
17192,1203153.163176203,475957.0313271349,1203187.8041923544,475927.0313271349,0.0,0.0,0.0024602962508271,0.1754599140572691,1.0,0.0,0.0,0.0,0.0942471328153903,0.0,0.2824675324675323,0.042,0.4222222222222227,0.65625,0.4525052876805268,0.0306454390304248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2
146111,1211986.6222948043,474187.0313271349,1212021.2633109558,474157.0313271349,0.0,0.0,0.0190510310896489,0.0127709622680945,0.0,0.0,1.0,1.0,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
64299,1206374.777678281,472627.0313271349,1206409.4186944324,472597.0313271349,0.0,1.0,0.131351753803496,0.0917171187575501,0.0,0.0,1.0,0.0,0.1110802811690714,0.0116125238865206,0.0,0.206,0.5111111111111113,0.7890625000000003,0.6420733593700213,0.0122396887206452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
98682,1208739.0270306123,475822.0313271348,1208773.668046764,475792.0313271348,0.0,0.0,0.0542000375769189,0.026670232853079,0.0,0.0,1.0,1.0,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
181333,1214402.8331713628,474952.0313271348,1214437.4741875145,474922.0313271348,1.0,0.0,0.0612699248111526,0.0152631597592469,1.0,1.0,0.0,0.0,0.7649833518312985,0.2556225194767014,0.3603896103896103,0.09,0.1888888888888892,0.2578124999999998,0.7353022439556164,0.2583991568004037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
155455,1212636.1413476423,478132.0313271348,1212670.782363794,478102.0313271348,0.0,1.0,0.0192762592060533,0.0215636192304831,0.0,0.0,1.0,0.0,0.0853681095079541,0.3180949581067176,0.3896103896103896,0.044,1.0,1.0,0.3177312210371334,0.0524430927273661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
167213,1213441.544973162,477847.0313271349,1213476.1859893135,477817.0313271349,0.0,1.0,0.0492079672403954,0.0805048869743269,0.0,0.0,1.0,0.0,0.3922493525712172,0.5256504483316184,0.8019480519480517,0.608,0.2111111111111117,0.2031250000000001,0.3734137795936593,0.2234996691660948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
93273,1208375.296361023,478912.0313271348,1208409.9373771744,478882.0313271348,0.0,0.0,0.0337626282370706,0.0335817855257704,0.0,0.0,1.0,0.0,0.7256751757306696,0.6936645597530501,0.7792207792207789,1.0,0.5,0.2265624999999999,0.0115657374976913,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
157742,1212792.0259203236,477742.0313271348,1212826.666936475,477712.0313271348,0.0,1.0,0.004999072246878,0.0805084295436107,1.0,0.0,0.0,0.0,0.0853681095079541,0.3180949581067176,0.3896103896103896,0.044,1.0,1.0,0.3177312210371334,0.0524430927273661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
127991,1210739.5457133544,472027.0313271349,1210774.186729506,471997.0313271349,0.0,0.0,0.1657655597035391,0.0332735819980799,0.0,0.0,0.0,1.0,0.0935997040325564,0.0485080111715419,0.0032467532467532,0.0,0.6666666666666666,0.7500000000000003,0.2676077888691983,0.0712605608554305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
131711,1210999.35333449,474127.0313271349,1211033.9943506415,474097.0313271349,0.0,0.0,0.0544573577824483,0.0032715627335881,0.0,0.0,1.0,0.0,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
