hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
7000 CULLODEN ST,Residential,48.634,945.232,24.317,108.731,923.443,2813.119,170.875,141.45,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
7300-7400 INVERNESS ST,Residential,47.191,1077.63,23.595,0.004,985.503,2803.142,216.875,221.436,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
800 CAMPBELL AV,Residential,49.8,247.182,24.9,89.867,449.608,1222.28,87.954,74.457,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,0,1
200 TEMPLETON DRIVE,Residential,48.486,221.2,24.243,74.517,144.936,2296.482,173.036,180.009,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,0
300 E PENDER ST,Residential,139.032,98.642,69.516,102.704,32.582,852.084,97.005,69.516,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
1500 W 26TH AV,Residential,54.881,1020.078,27.441,102.395,1069.728,1761.244,58.835,106.102,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
400 W 12TH AV,Secondary Arterial,88.516,160.702,44.258,51.662,85.131,280.518,98.58,44.258,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
2700 W 5TH AV,Residential,64.693,97.917,70.764,200.094,93.405,3397.322,73.636,117.041,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
400 BUTE ST,Arterial,64.216,96.892,32.108,101.511,7.417,378.386,42.692,32.108,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,31.0,0.0,8.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0
900 W BROADWAY,Arterial,174.64,22.294,87.32,110.092,13.706,775.095,104.42,87.32,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,1,0,0,0,8.0,1.0,17.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
