hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
2100 E KENT AV NORTH,Arterial,214.803,1586.407,112.926,58.617,2301.233,3957.475,189.304,413.802,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
5600 QUEBEC ST,Residential,50.294,188.174,25.147,141.013,966.674,900.759,139.174,164.283,22555,27225,65.1,1580,40.2,39.3,4935559.289290368,0.004569897488405,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
300 W 58TH AV,Residential,164.216,951.158,82.108,0.0,1545.612,982.853,328.833,354.756,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
8600 KERR ST,Residential,33.153,2326.672,16.576,142.522,2940.464,3608.883,172.421,159.339,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,1,0
800 JACKSON AV,Residential,49.734,129.321,24.867,75.076,243.734,688.073,78.737,75.531,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1
1000 MARINASIDE CRESCENT,Residential,86.439,45.765,35.987,163.486,5.258,217.314,134.831,148.865,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,0,0,1,0,6.0,0.0,8.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
3600 ST. GEORGE ST,Residential,50.292,334.089,25.146,198.051,472.365,1595.371,280.237,334.762,22555,27225,65.1,1580,40.2,39.3,4935559.289290368,0.004569897488405,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3200 W 1ST AV,Residential,140.98,37.212,70.49,28.319,527.622,3998.773,307.542,307.8,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
1500 E 55TH AV,Residential,49.623,625.675,24.812,3.539,1259.064,3153.414,224.768,162.666,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,0,1,0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,1,0
1700 W 52ND AV,Residential,49.075,433.952,24.537,89.812,1120.863,2248.289,318.524,372.283,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
900 CLARK DRIVE,Arterial,50.326,1.859,29.649,150.17,542.206,1197.366,64.091,29.649,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,1,0,0,0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0
1000 NANTON AV,Residential,64.62,710.557,82.043,0.001,461.413,1028.968,83.055,84.333,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3000 TRIMBLE ST,Residential,50.253,431.449,25.126,221.401,421.445,6342.592,203.996,429.469,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2700 BOUNDARY ROAD,Arterial,217.495,1624.863,108.747,454.322,2863.456,687.977,11.909,108.734,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0
2200 BALSAM ST,Residential,93.22,239.841,46.61,164.33,203.235,2918.2,230.308,237.358,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
600 PACIFIC ST,Arterial,55.332,154.241,27.666,0.0,38.094,533.186,104.062,121.513,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1,0,0,0,0,0
2400 NOOTKA ST,Residential,64.351,530.545,32.175,303.266,1995.672,457.901,139.416,108.207,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
3300-3400 W 27TH AV,Residential,39.493,269.246,19.746,230.734,1741.542,4821.252,206.555,223.835,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
800 DRAKE ST,Arterial,49.669,90.371,24.835,86.127,6.143,638.608,159.965,24.834,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,11.0,0.0,12.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0
3100 E 41ST AV,Arterial,51.652,224.868,17.025,412.576,178.161,735.908,24.856,17.025,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0,1,0,0,1,0
3000 QUEBEC ST,Residential,100.554,81.711,50.277,70.484,109.237,999.203,136.556,154.279,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1800 NAPIER ST,Residential,141.086,210.326,70.543,300.783,173.317,1329.149,205.815,211.39,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
3200 CAMBIE ST,Arterial,114.236,74.812,57.118,163.655,11.003,709.821,20.616,57.118,7970,31765,71.0,2095,42.1,40.2,2178080.618955667,0.003659185032288,1,0,0,0,11.0,0.0,17.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
1400 HORNBY ST,Arterial,104.398,6.19,52.199,0.001,97.474,746.785,94.902,52.199,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
300 W 2ND AV,Arterial,134.921,49.302,52.789,105.65,13.059,275.957,221.99,59.624,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
3500 BRIDGEWAY,Residential,135.783,1113.168,67.892,0.097,2240.076,3398.97,374.838,870.925,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
3800 W 27TH AV,Residential,201.1,309.915,100.55,210.514,1713.794,5399.84,304.647,311.785,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2800 ASH ST,Residential,53.3,211.379,26.65,166.33,37.889,353.206,180.141,26.65,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,1,0,0,1,0,0
7700 MUNROE CRESCENT,Residential,130.882,2050.599,65.441,166.096,2035.895,2704.857,130.804,641.014,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3600 E 29TH AV,Collector,35.589,855.255,17.795,193.552,1426.636,884.999,303.998,17.795,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,1,0,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,1,0
2500 CLARK DRIVE,Arterial,50.34,232.419,25.17,143.059,425.043,470.814,43.079,25.17,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1,1,1
3100 ADANAC ST,Residential,44.934,611.433,22.467,3.751,1365.863,1875.527,216.811,410.978,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,1,0
6000 CAMBIE ST,Arterial,102.852,362.509,51.426,25.303,1829.498,355.221,28.872,51.426,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,1,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
300 N KAMLOOPS ST,Residential,54.882,446.976,27.441,296.393,780.046,3013.667,40.407,142.893,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
6000 KILLARNEY ST,Residential,50.359,828.311,25.179,0.0,912.687,1473.586,169.074,187.078,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3500 MARSHALL ST,Residential,84.45,596.997,42.225,241.761,1021.97,646.051,203.46,233.764,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
700 BURRARD ST,Arterial,55.712,89.854,27.856,0.005,10.974,305.802,31.962,27.856,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,1,0,0,0,166.0,0.0,4.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0
3400 WALLACE ST,Residential,50.226,241.33,25.113,90.738,883.603,5422.26,265.123,318.648,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2200-2300 DISCOVERY ST,Residential,189.899,294.066,94.949,111.403,284.487,5964.808,281.744,289.914,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
3200 E 28TH AV,Residential,150.579,682.585,75.29,92.142,1160.043,763.094,122.944,144.223,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2800 W 31ST AV,Residential,165.834,210.417,82.917,193.471,1163.33,3951.034,95.475,440.416,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3600 FLEMING ST,Residential,50.742,318.542,25.371,0.003,893.919,1127.116,291.659,336.51,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
5700 CLARENDON ST,Collector,41.309,740.974,19.576,267.231,1328.592,1459.506,17.941,19.576,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,1,0,0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,1,1
2500 GLEN DRIVE,Residential,55.355,81.868,27.678,0.002,332.237,439.156,40.681,27.678,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,0,1
5400 CLARENDON ST,Collector,56.022,471.315,28.011,98.876,1314.332,1183.573,6.892,196.784,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,1
7700 MUIRFIELD DRIVE,Residential,72.994,1049.443,41.608,187.896,2687.153,3349.447,7.975,44.963,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
3400 PORTER ST,Residential,65.228,578.709,32.614,409.96,705.856,909.171,58.852,101.118,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,0,0
0 W 1ST AV,Residential,31.35,12.93,15.675,0.0,37.658,530.04,106.314,21.7,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,36.0,2.0,2.0,0.0,0.0,3.0,1.0,1,0,0,0,0,0
1900 FOLEY ST,Residential,111.729,492.844,35.535,110.042,94.43,562.606,70.924,75.43,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
4800 FLEMING ST,Residential,163.227,519.449,81.614,103.139,1470.304,1445.482,80.918,128.114,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1600 W 33RD AV,Collector,60.669,979.064,30.334,174.568,957.362,2214.512,312.598,247.012,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2000 BURRARD ST,Arterial,47.937,28.315,23.968,0.0,31.634,1875.574,42.639,23.968,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,1,0,0,0,12.0,2.0,4.0,0.0,0.0,1.0,1.0,0,1,1,0,0,0
6600-6700 HEATHER ST,Residential,180.179,562.814,90.089,71.062,2318.781,566.783,183.518,271.301,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2100 W 44TH AV,Residential,52.714,203.246,26.357,108.821,142.163,2917.568,69.962,111.617,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,1,0
2200 TOLMIE ST,Residential,47.416,360.737,23.708,199.438,352.938,6608.461,209.855,310.63,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3000 MAIN ST,Arterial,100.517,10.247,50.259,0.001,10.019,1127.032,18.334,50.259,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,0,10.0,5.0,17.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
1800-1900 E 40TH AV,Residential,76.333,145.335,89.963,283.732,1651.278,1837.426,131.15,142.505,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
1500 KAMLOOPS ST,Residential,103.559,217.393,51.78,316.531,1030.502,1336.868,152.183,207.397,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1800 DAVIE ST,Arterial,61.472,31.49,30.736,28.9,114.357,1620.186,51.322,30.736,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,1,0,0,0,19.0,4.0,0.0,0.0,0.0,2.0,1.0,0,1,0,0,1,0
1600 E 37TH AV,Residential,100.658,483.994,50.329,0.002,1331.032,1738.105,343.437,351.05,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2600 E 17TH AV,Residential,44.018,505.118,22.009,28.027,1531.617,592.158,396.02,383.93,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1600 E 62ND AV,Residential,92.982,949.738,46.491,286.056,1531.309,3215.412,265.861,135.982,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
100 PRINCESS AV,Residential,50.408,35.301,25.204,91.09,37.972,1306.86,107.609,25.204,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,24.0,3.0,3.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0
800 E 33RD AV,Secondary Arterial,24.555,333.186,12.278,96.039,688.083,2323.554,39.089,108.741,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,1,0
2400 MCGILL ST,Arterial,140.543,408.386,70.272,224.207,809.828,3016.942,98.632,70.272,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,1,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
1200 COMMERCIAL DRIVE,Secondary Arterial,100.413,33.641,50.206,282.176,8.468,1096.972,20.799,50.207,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,1,0,0,1,2.0,1.0,16.0,0.0,2.0,0.0,0.0,0,1,0,0,1,1
3200 CLARK DRIVE,Residential,50.346,446.595,25.173,317.45,710.502,905.094,157.774,156.42,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
2000 YUKON ST,Residential,50.33,92.995,25.166,14.574,7.598,210.11,188.993,33.11,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,3.0,0.0,7.0,0.0,0.0,3.0,1.0,1,1,1,0,0,0
8400-8500 KERR ST,Arterial,36.751,2303.715,18.376,0.0,2906.401,3574.619,139.416,124.391,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,1,0,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
0 SENNOK CRESCENT,Residential,46.631,1385.715,23.316,55.31,3025.246,6437.55,75.47,642.251,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
4000 COLUMBIA ST,Residential,65.457,391.201,32.728,167.863,420.317,386.031,39.684,369.367,22555,27225,65.1,1580,40.2,39.3,4935559.289290368,0.004569897488405,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,1,1,0
2200 NANAIMO ST,Arterial,22.33,319.201,11.165,391.85,915.141,889.691,28.826,11.165,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,1,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,1,0,1,0,1
600 BIDWELL ST,Arterial,65.122,96.368,32.561,86.777,62.684,1097.317,50.499,126.649,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,1,0,0,0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0,0,1,0,0
3200 E 25TH AV,Residential,144.479,771.588,72.24,137.511,1436.749,856.351,136.656,219.603,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
300 LAKEWOOD DRIVE,Residential,50.143,262.957,25.072,0.003,81.68,2163.429,77.301,78.418,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0
800 W 8TH AV,Residential,119.727,75.59,59.863,93.594,5.7,635.659,98.428,117.666,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
4300 NOOTKA ST,Secondary Arterial,46.967,262.302,21.489,127.546,1216.901,347.081,36.657,71.114,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
4000 W KING EDWARD AV,Residential,219.644,736.403,109.822,435.428,1589.035,5809.543,716.116,723.089,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
6300 CARTIER ST,Residential,50.486,988.697,25.243,327.777,1255.436,1546.537,180.351,213.296,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
100 E BROADWAY,Arterial,87.358,2.467,43.679,101.493,54.398,904.287,16.815,43.679,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
2200 E 3RD AV,Residential,140.561,552.307,70.28,212.432,744.206,867.594,169.751,213.049,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
1000 W 27TH AV,Residential,52.055,602.008,26.027,102.467,399.997,943.914,46.409,26.111,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,0
500 HOWE ST,Arterial,49.7,34.588,24.85,30.801,6.811,168.973,21.946,24.85,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,23.0,5.0,2.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0
1000 KAMLOOPS ST,Residential,45.789,273.282,22.895,140.594,629.314,1692.092,130.247,273.271,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
8300 MANITOBA ST,Residential,92.822,512.649,46.411,267.754,1197.42,506.807,348.331,345.604,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
