hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
1400 W 64TH AV,Residential,49.546,24.943,24.773,251.294,2448.304,1719.777,38.845,24.773,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,15.0,3.0,0.0,0.0,1.0,1.0,1.0,0,1,0,1,0,0
3600 E 25TH AV,Residential,53.207,1167.994,26.603,308.531,1729.837,1196.563,124.911,305.219,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2600 W 4TH AV,Arterial,134.304,1.4,67.152,71.481,10.765,3239.619,35.809,67.152,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,1,0,0,0,1.0,6.0,4.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
1800 THORNTON ST,Residential,92.968,290.394,46.153,4.031,6.782,774.598,43.455,90.72,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
2600 W 45TH AV,Residential,55.035,455.718,27.517,0.002,456.359,3609.574,421.23,422.15,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
1900 SLOCAN ST,Residential,50.279,725.66,25.14,0.004,1436.511,941.352,374.95,289.817,34575,18115,69.9,2220,42.3,42.1,8338940.03751132,0.004146210410972,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2200 LAUREL ST,Residential,93.242,138.817,46.621,0.0,135.632,654.864,250.584,241.22,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
300 CAMPBELL AV,Residential,50.397,81.2,25.198,189.053,120.462,1498.667,78.544,80.656,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0
1200 LAMEY'S MILL ROAD,Residential,24.506,266.405,12.253,35.442,240.487,1171.814,69.892,108.256,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,0,0
7000-7200 CYPRESS ST,Residential,51.818,829.004,25.909,93.634,1517.876,2541.154,68.745,286.91,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,0,0,1,0
3600 PUGET DRIVE,Residential,56.485,389.296,28.243,23.705,1046.578,4400.685,359.256,381.206,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1800 W 8TH AV,Residential,129.075,101.116,64.537,68.897,81.496,2135.907,112.532,120.191,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1700-1800 E 11TH AV,Residential,60.346,37.647,30.173,149.707,5.697,152.36,60.769,104.837,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,5.0,1.0,7.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0
4500 MAPLE CRESCENT,Residential,57.629,1003.289,28.814,67.284,972.996,2430.493,362.154,373.678,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,1,0
3800 COLLINGWOOD ST,Residential,50.374,338.987,25.187,240.21,1289.282,4855.399,222.279,235.431,21425,4120,63.3,295,41.1,44.1,9087032.917377183,0.002357755297555,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1700-1800 E 13TH AV,Residential,47.263,231.994,23.632,115.231,271.382,409.472,260.673,103.322,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
